Rank,Title,Genre,Year,Revenue (Millions),Metascore,Votes
822,The Imaginarium of Doctor Parnassus,"Adventure,Fantasy,Mystery",2009,7.69,65,130153
823,G.I. Joe: The Rise of Cobra,"Action,Adventure,Sci-Fi",2009,150.17,32,180105
824,Christine,"Biography,Drama",2016,0.3,72,5855
825,Man Down,"Drama,Thriller",2015,,27,4779
826,Crawlspace,"Horror,Thriller",2016,,25,1427
827,Shut In,"Drama,Horror,Thriller",2016,6.88,,5715
828,The Warriors Gate,"Action,Adventure,Fantasy",2016,,77,1391
829,Grindhouse,"Action,Horror,Thriller",2007,25.03,,160350
830,Disaster Movie,Comedy,2008,14.17,15,77207
831,Rocky Balboa,"Drama,Sport",2006,70.27,63,171356
832,Diary of a Wimpy Kid: Dog Days,"Comedy,Family",2012,49,54,16917
833,Jane Eyre,"Drama,Romance",2011,11.23,76,67464
834,Fool's Gold,"Action,Adventure,Comedy",2008,70.22,29,62719
835,The Dictator,Comedy,2012,59.62,58,225394
836,The Loft,"Mystery,Romance,Thriller",2014,5.98,24,38804
837,Bacalaureat,"Crime,Drama",2016,0.13,84,5531
838,You Don't Mess with the Zohan,"Action,Comedy",2008,100.02,54,163144
839,Exposed,"Crime,Drama,Mystery",2016,,23,8409
840,Maudie,"Biography,Drama,Romance",2016,,60,346
841,Horrible Bosses 2,"Comedy,Crime",2014,54.41,40,125190
842,A Bigger Splash,"Drama,Thriller",2015,1.98,74,15232
843,Melancholia,Drama,2011,3.03,80,137117
844,The Princess and the Frog,"Animation,Adventure,Comedy",2009,104.37,73,95480
845,Unstoppable,"Action,Thriller",2010,81.56,69,157499
846,Flight,"Drama,Thriller",2012,93.75,76,276347
847,Home,"Animation,Adventure,Comedy",2015,177.34,55,77447
848,La migliore offerta,"Crime,Drama,Mystery",2013,0.09,49,77986
849,Mean Dreams,Thriller,2016,,64,1066
850,42,"Biography,Drama,Sport",2013,95,62,69659
851,21,"Crime,Drama,Thriller",2008,81.16,48,198395
852,Begin Again,"Drama,Music",2013,16.17,62,111875
853,Out of the Furnace,"Crime,Drama,Thriller",2013,11.33,63,88829
854,Vicky Cristina Barcelona,"Drama,Romance",2008,23.21,70,208770
855,Kung Fu Panda,"Animation,Action,Adventure",2008,215.4,73,329788
856,Barbershop: The Next Cut,"Comedy,Drama",2016,54.01,67,9993
857,Terminator Salvation,"Action,Adventure,Drama",2009,125.32,49,297093
858,Freedom Writers,"Biography,Crime,Drama",2007,36.58,64,55648
859,The Hills Have Eyes,Horror,2006,41.78,52,136642
860,Changeling,"Biography,Drama,Mystery",2008,35.71,63,206793
861,Remember Me,"Drama,Romance",2010,19.06,40,119376
862,Koe no katachi,"Animation,Drama,Romance",2016,,80,2421
863,"Alexander and the Terrible, Horrible, No Good, Very Bad Day","Comedy,Family",2014,66.95,54,32310
864,Locke,Drama,2013,1.36,81,100890
865,The 9th Life of Louis Drax,"Mystery,Thriller",2016,,41,6175
866,Horns,"Drama,Fantasy,Horror",2013,0.16,46,61060
867,Indignation,"Drama,Romance",2016,3.4,78,7402
868,The Stanford Prison Experiment,"Biography,Drama,History",2015,0.64,67,20907
869,Diary of a Wimpy Kid: Rodrick Rules,"Comedy,Family",2011,52.69,51,20194
870,Mission: Impossible III,"Action,Adventure,Thriller",2006,133.38,66,270429
871,En man som heter Ove,"Comedy,Drama",2015,3.36,70,21569
872,Dragonball Evolution,"Action,Adventure,Fantasy",2009,9.35,45,59512
873,Red Dawn,"Action,Thriller",2012,44.8,31,64584
874,One Day,"Drama,Romance",2011,13.77,48,113599
875,Life as We Know It,"Comedy,Drama,Romance",2010,53.36,39,101301
876,28 Weeks Later,"Drama,Horror,Sci-Fi",2007,28.64,78,221858
877,Warm Bodies,"Comedy,Horror,Romance",2013,66.36,59,193579
878,Blue Jasmine,Drama,2013,33.4,78,160592
879,G.I. Joe: Retaliation,"Action,Adventure,Sci-Fi",2013,122.51,41,152145
880,Wrath of the Titans,"Action,Adventure,Fantasy",2012,83.64,37,159230
881,Shin Gojira,"Action,Adventure,Drama",2016,1.91,68,8365
882,Saving Mr. Banks,"Biography,Comedy,Drama",2013,83.3,65,125693
883,Transcendence,"Drama,Mystery,Romance",2014,23.01,42,184564
884,Rio,"Animation,Adventure,Comedy",2011,143.62,63,173919
885,Equals,"Drama,Romance,Sci-Fi",2015,0.03,43,16361
886,Babel,Drama,2006,34.3,69,253417
887,The Tree of Life,"Drama,Fantasy",2011,13.3,85,143517
888,The Lucky One,"Drama,Romance",2012,60.44,39,82874
889,Piranha 3D,"Comedy,Horror,Thriller",2010,25,53,75262
890,50/50,"Comedy,Drama,Romance",2011,34.96,72,281625
891,The Intent,"Crime,Drama",2016,,59,202
892,This Is 40,"Comedy,Romance",2012,67.52,,108156
893,Real Steel,"Action,Drama,Family",2011,85.46,56,264480
894,Sex and the City,"Comedy,Drama,Romance",2008,152.64,53,102547
895,Rambo,"Action,Thriller,War",2008,42.72,46,187077
896,Planet Terror,"Action,Comedy,Horror",2007,,55,174553
897,Concussion,"Biography,Drama,Sport",2015,34.53,,61274
898,The Fall,"Adventure,Comedy,Drama",2006,2.28,64,93036
899,The Ugly Truth,"Comedy,Romance",2009,88.92,28,172558
900,Bride Wars,"Comedy,Romance",2009,58.72,24,83976
901,Sleeping with Other People,"Comedy,Drama,Romance",2015,0.81,64,27730
902,Snakes on a Plane,"Action,Adventure,Crime",2006,34.01,58,118905
903,What If,"Comedy,Romance",2013,3.45,59,55243
904,How to Train Your Dragon 2,"Animation,Action,Adventure",2014,177,76,237565
905,RoboCop,"Action,Crime,Sci-Fi",2014,58.61,52,190833
906,In Dubious Battle,Drama,2016,,43,1455
907,"Hello, My Name Is Doris","Comedy,Drama,Romance",2015,14.44,63,12361
908,Ocean's Thirteen,"Crime,Thriller",2007,117.14,62,269581
909,Slither,"Comedy,Horror,Sci-Fi",2006,7.77,69,64351
910,Contagion,"Drama,Thriller",2011,75.64,70,187004
911,Il racconto dei racconti - Tale of Tales,"Drama,Fantasy,Horror",2015,0.08,72,17565
912,I Am the Pretty Thing That Lives in the House,Thriller,2016,,68,4204
913,Bridge to Terabithia,"Adventure,Drama,Family",2007,82.23,74,117297
914,Coherence,"Mystery,Sci-Fi,Thriller",2013,0.07,65,66265
915,Notorious,"Biography,Crime,Drama",2009,36.84,60,33007
916,Goksung,"Drama,Fantasy,Horror",2016,0.79,81,17962
917,The Expendables 2,"Action,Adventure,Thriller",2012,85.02,51,257395
918,The Girl Next Door,"Crime,Drama,Horror",2007,,29,19351
919,Perfume: The Story of a Murderer,"Crime,Drama,Fantasy",2006,2.21,56,199387
920,The Golden Compass,"Adventure,Family,Fantasy",2007,70.08,51,155078
921,Centurion,"Action,Adventure,Drama",2010,0.12,62,67801
922,Scouts Guide to the Zombie Apocalypse,"Action,Comedy,Horror",2015,3.64,32,31651
923,17 Again,"Comedy,Drama,Family",2009,64.15,48,152808
924,No Escape,"Action,Thriller",2015,27.29,38,57921
925,Superman Returns,"Action,Adventure,Sci-Fi",2006,200.07,72,246797
926,The Twilight Saga: Breaking Dawn - Part 1,"Adventure,Drama,Fantasy",2011,281.28,45,190244
927,Precious,Drama,2009,47.54,79,91623
928,The Sea of Trees,Drama,2015,0.02,23,7475
929,Good Kids,Comedy,2016,,86,3843
930,The Master,Drama,2012,16.38,,112902
931,Footloose,"Comedy,Drama,Music",2011,51.78,58,39380
932,If I Stay,"Drama,Fantasy,Music",2014,50.46,46,92170
933,The Ticket,Drama,2016,,52,924
934,Detour,Thriller,2016,,46,2205
935,The Love Witch,"Comedy,Horror",2016,0.22,82,4669
936,Talladega Nights: The Ballad of Ricky Bobby,"Action,Comedy,Sport",2006,148.21,66,137502
937,The Human Centipede (First Sequence),Horror,2009,0.18,33,60655
938,Super,"Comedy,Drama",2010,0.32,50,64535
939,The Siege of Jadotville,"Action,Drama,Thriller",2016,,83,14689
940,Up in the Air,"Drama,Romance",2009,83.81,,279694
941,The Midnight Meat Train,"Horror,Mystery",2008,0.07,58,50255
942,The Twilight Saga: Eclipse,"Adventure,Drama,Fantasy",2010,300.52,58,192740
943,Transpecos,Thriller,2016,,73,1292
944,What's Your Number?,"Comedy,Romance",2011,13.99,35,62095
945,Riddick,"Action,Sci-Fi,Thriller",2013,42,49,132098
946,Triangle,"Fantasy,Mystery,Thriller",2009,,66,72533
947,The Butler,"Biography,Drama",2013,116.63,,93322
948,King Cobra,"Crime,Drama",2016,0.03,48,3990
949,After Earth,"Action,Adventure,Sci-Fi",2013,60.52,33,166512
950,Kicks,Adventure,2016,0.15,69,2417
951,Me and Earl and the Dying Girl,"Comedy,Drama",2015,6.74,74,92076
952,The Descendants,"Comedy,Drama",2011,82.62,84,211348
953,Sex and the City 2,"Comedy,Drama,Romance",2010,95.33,27,62403
954,The Kings of Summer,"Adventure,Comedy,Drama",2013,1.29,61,65653
955,Death Race,"Action,Sci-Fi,Thriller",2008,36.06,43,173731
956,That Awkward Moment,"Comedy,Romance",2014,26.05,36,81823
957,Legion,"Action,Fantasy,Horror",2010,40.17,32,84158
958,End of Watch,"Crime,Drama,Thriller",2012,40.98,68,192190
959,3 Days to Kill,"Action,Drama,Thriller",2014,30.69,40,73567
960,Lucky Number Slevin,"Crime,Drama,Mystery",2006,22.49,53,271940
961,Trance,"Crime,Drama,Mystery",2013,2.32,61,97141
962,Into the Forest,"Drama,Sci-Fi,Thriller",2015,0.01,59,10220
963,The Other Boleyn Girl,"Biography,Drama,History",2008,26.81,50,88260
964,I Spit on Your Grave,"Crime,Horror,Thriller",2010,0.09,27,60133
965,Custody,Drama,2016,,72,280
966,Inland Empire,"Drama,Mystery,Thriller",2006,,,44227
967,L'odyssée,"Adventure,Biography",2016,,70,1810
968,The Walk,"Adventure,Biography,Crime",2015,10.14,,92378
969,Wrecker,"Action,Horror,Thriller",2015,,37,1210
970,The Lone Ranger,"Action,Adventure,Western",2013,89.29,,190855
971,Texas Chainsaw 3D,"Horror,Thriller",2013,34.33,62,37060
972,Disturbia,"Drama,Mystery,Thriller",2007,80.05,,193491
973,Rock of Ages,"Comedy,Drama,Musical",2012,38.51,47,64513
974,Scream 4,"Horror,Mystery",2011,38.18,52,108544
975,Queen of Katwe,"Biography,Drama,Sport",2016,8.81,73,6753
976,My Big Fat Greek Wedding 2,"Comedy,Family,Romance",2016,59.57,37,20966
977,Dark Places,"Drama,Mystery,Thriller",2015,,39,31634
978,Amateur Night,Comedy,2016,,38,2229
979,It's Only the End of the World,Drama,2016,,48,10658
980,The Skin I Live In,"Drama,Thriller",2011,3.19,70,108772
981,Miracles from Heaven,"Biography,Drama,Family",2016,61.69,44,12048
982,Annie,"Comedy,Drama,Family",2014,85.91,33,27312
983,Across the Universe,"Drama,Fantasy,Musical",2007,24.34,56,95172
984,Let's Be Cops,Comedy,2014,82.39,30,112729
985,Max,"Adventure,Family",2015,42.65,47,21405
986,Your Highness,"Adventure,Comedy,Fantasy",2011,21.56,31,87904
987,Final Destination 5,"Horror,Thriller",2011,42.58,50,88000
988,Endless Love,"Drama,Romance",2014,23.39,30,33688
989,Martyrs,Horror,2008,,89,63785
990,Selma,"Biography,Drama,History",2014,52.07,,67637
991,Underworld: Rise of the Lycans,"Action,Adventure,Fantasy",2009,45.8,44,129708
992,Taare Zameen Par,"Drama,Family,Music",2007,1.2,42,102697
993,Take Me Home Tonight,"Comedy,Drama,Romance",2011,6.92,,45419
994,Resident Evil: Afterlife,"Action,Adventure,Horror",2010,60.13,37,140900
995,Project X,Comedy,2012,54.72,48,164088
996,Secret in Their Eyes,"Crime,Drama,Mystery",2015,,45,27585
997,Hostel: Part II,Horror,2007,17.54,46,73152
998,Step Up 2: The Streets,"Drama,Music,Romance",2008,58.01,50,70699
999,Search Party,"Adventure,Comedy",2014,,22,4881
1000,Nine Lives,"Comedy,Family,Fantasy",2016,19.64,11,12435
