rank of the week,name,weekly sales,total sales,week after release
53,"LEGO DC Super-Villains (XOne)Warner Bros. Interactive Entertainment, Action-Adventure",Pro,N/A,3
54,"PlayStation VR Worlds (PS4)Sony Interactive Entertainment, Misc",Pro,N/A,108
55,"Detroit: Become Human (PS4)Sony Interactive Entertainment, Adventure",Pro,N/A,24
56,"Yomawari: The Long Night Collection (NS)Nippon Ichi Software, Action-Adventure",Pro,N/A,2
57,"Grand Theft Auto V (XOne)Take-Two Interactive, Action",Pro,N/A,207
58,"Destiny 2: Forsaken (PS4)Activision, Shooter",Pro,N/A,9
59,"Kirby (NS)Nintendo, Platform",Pro,N/A,34
60,"MineCraft (PS4)Sony Computer Entertainment, Misc",Pro,N/A,214
61,"Call of Cthulhu (XOne)Focus Home Interactive, Role-Playing",Pro,N/A,1
62,"Taiko no Tatsujin: Drum 'n' Fun! (NS)Namco Bandai Games, Music",Pro,N/A,16
63,"Fortnite (XOne)Gearbox Software, Action",Pro,N/A,68
64,"Monster Hunter Double Cross (NS)Capcom, Action",Pro,N/A,63
65,"Gran Turismo Sport (PS4)Sony Interactive Entertainment, Racing",Pro,N/A,55
66,"Crash Bandicoot N. Sane Trilogy (PS4)Activision, Platform",Pro,N/A,71
67,"Crash Bandicoot N. Sane Trilogy (NS)Activision, Platform",Pro,N/A,19
68,"Mutant Football League (NS)Nighthawk Interactive, Sports",Pro,N/A,1
69,"Monster Hunter: World (PS4)Capcom, Action",Pro,N/A,41
70,"MLB The Show 18 (PS4)Sony Interactive Entertainment, Sports",Pro,N/A,32
71,"Resident Evil VII: Biohazard (PS4)Capcom, Action",Pro,N/A,93
72,"The World Ends with You: Final Remix (NS)Nintendo, Role-Playing",Pro,N/A,6
73,"Shadow of the Colossus (PS4)Sony Interactive Entertainment, Action-Adventure",Pro,N/A,39
74,"Crash Bandicoot N.Sane Trilogy (XOne)Activision, Platform",Pro,N/A,19
75,"NHL 19 (PS4)Electronic Arts, Sports",Pro,N/A,8
1,"Red Dead Redemption 2 (PS4)Take-Two Interactive, Action-Adventure","4,610,964","4,610,964",1
2,"Red Dead Redemption 2 (XOne)Take-Two Interactive, Action-Adventure","1,622,929","1,622,929",1
3,"Call of Duty: Black Ops IIII (PS4)Activision, Shooter","797,607","4,494,790",3
4,"Call of Duty: Black Ops IIII (XOne)Activision, Shooter","421,618","2,155,170",3
5,"FIFA 19 (PS4)Electronic Arts, Sports","235,145","5,541,910",5
6,"Super Mario Party (NS)Nintendo, Party","160,193","1,342,261",4
7,"Assassin's Creed Odyssey (PS4)Ubisoft, Action-Adventure","134,932","1,675,422",4
8,"Spider-Man (PS4) (PS4)Sony Interactive Entertainment, Action-Adventure","134,184","5,476,184",8
9,"SoulCalibur VI (PS4)Namco Bandai Games, Fighting","115,300","410,449",2
10,"My Hero One's Justice (PS4)Bandai Namco Entertainment, Fighting","81,907","113,828",10
11,"Forza Horizon 4 (XOne)Microsoft Studios, Racing","73,368","793,463",4
12,"My Hero One's Justice (NS)Bandai Namco Entertainment, Fighting","68,043","116,421",10
13,"Mario Kart 8 Deluxe (NS)Nintendo, Racing","65,890","9,793,455",79
14,"Assassin's Creed Odyssey (XOne)Ubisoft, Action-Adventure","62,572","689,944",4
15,"NBA 2K19 (PS4)Take-Two Interactive, Sports","56,990","1,487,495",7
16,"FIFA 19 (XOne)Electronic Arts, Sports","48,541","1,355,211",5
17,"Super Mario Odyssey (NS)Nintendo, Platform","47,746","10,388,125",53
18,"NBA 2K19 (XOne)Take-Two Interactive, Sports","46,458","960,209",7
19,"My Hero One's Justice (XOne)Bandai Namco Entertainment, Fighting","45,044","45,044",1
20,"Shadow of the Tomb Raider (PS4)Square Enix, Action-Adventure","41,827","1,077,289",7
21,"WWE 2K19 (PS4)Take-Two Interactive, Fighting","41,152","362,802",3
22,"The Legend of Zelda: Breath of the Wild (NS)Nintendo, Action-Adventure","39,188","8,342,679",87
23,"LEGO DC Super-Villains (PS4)Warner Bros. Interactive Entertainment, Action-Adventure","38,312","119,272",2
24,"SoulCalibur VI (XOne)Namco Bandai Games, Fighting","36,324","149,215",2
25,"Splatoon 2 (NS)Nintendo, Shooter","35,855","6,312,346",67
26,"Minecraft (NS)Mojang, Sandbox","34,346","853,730",19
27,"Dark Souls: Remastered (NS)Bandai Namco Entertainment, Role-Playing","34,046","139,431",2
28,"Madden NFL 19 (PS4)Electronic Arts, Sports","34,026","1,453,853",12
29,"Grand Theft Auto V (PS4)Take-Two Interactive, Action","33,093","18,768,382",206
30,"Luigi's Mansion (3DS)Nintendo, Adventure","31,397","120,248",3
31,"God of War (PS4) (PS4)Sony Interactive Entertainment, Action",Pro,N/A,28
32,"Starlink: Battle for Atlas (NS)Ubisoft, Action-Adventure",Pro,N/A,2
33,"WWE 2K19 (XOne)Take-Two Interactive, Fighting",Pro,N/A,3
34,"Donkey Kong Country: Tropical Freeze (NS)Nintendo, Platform",Pro,N/A,26
35,"Horizon: Zero Dawn (PS4)Sony Interactive Entertainment, Action",Pro,N/A,87
36,"Madden NFL 19 (XOne)Electronic Arts, Sports",Pro,N/A,12
37,"Pokemon: Ultra Sun and Ultra Moon (3DS)Nintendo, Role-Playing",Pro,N/A,50
38,"LEGO DC Super-Villains (NS)Warner Bros. Interactive Entertainment, Action-Adventure",Pro,N/A,2
39,"NHL 19 (PS4)Electronic Arts, Sports",Pro,N/A,7
40,"Mario Tennis Aces (NS)Nintendo, Sports",Pro,N/A,19
41,"Astro Bot Rescue Mission (PS4)Sony Interactive Entertainment, Platform",Pro,N/A,4
42,"Shadow of the Tomb Raider (XOne)Square Enix, Action-Adventure",Pro,N/A,7
43,"PlayerUnknown's Battlegrounds (XOne)Microsoft Studios, Shooter",Pro,N/A,46
44,"Just Dance 2019 (NS)Ubisoft, Music",Pro,N/A,1
45,"Monster Hunter Double Cross (NS)Capcom, Action",Pro,N/A,62
46,"Nickelodeon Kart Racers (NS)Maximum Games, Racing",Pro,N/A,1
47,"FIFA 19 (NS)Electronic Arts, Sports",Pro,N/A,5
48,"LEGO DC Super-Villains (XOne)Warner Bros. Interactive Entertainment, Action-Adventure",Pro,N/A,2
49,"Mario Kart (3DS)Nintendo, Racing",Pro,N/A,361
50,"Sea of Thieves (XOne)Microsoft Studios, Action-Adventure",Pro,N/A,32
51,"The World Ends with You: Final Remix (NS)Nintendo, Role-Playing",Pro,N/A,5
52,"Fortnite (PS4)Gearbox Software, Action",Pro,N/A,67
53,"NHL 19 (XOne)Electronic Arts, Sports",Pro,N/A,7
54,"PlayStation VR Worlds (PS4)Sony Interactive Entertainment, Misc",Pro,N/A,107
55,"Crash Bandicoot N. Sane Trilogy (NS)Activision, Platform",Pro,N/A,18
56,"Destiny 2 (PS4)Activision, Shooter",Pro,N/A,60
57,"Dragon Quest XI (PS4)Square Enix, Role-Playing",Pro,N/A,66
58,"Fortnite (XOne)Gearbox Software, Action",Pro,N/A,67
59,"Detroit: Become Human (PS4)Sony Interactive Entertainment, Adventure",Pro,N/A,23
60,"Code of  Princess EX (NS)Nicalis, Action",Pro,N/A,13
61,"Forza Motorsport 7 (XOne)Microsoft Studios, Racing",Pro,N/A,57
62,"Crash Bandicoot N. Sane Trilogy (PS4)Activision, Platform",Pro,N/A,70
63,"Grand Theft Auto V (XOne)Take-Two Interactive, Action",Pro,N/A,206
64,"MineCraft (PS4)Sony Computer Entertainment, Misc",Pro,N/A,213
65,"Street Fighter 30th Anniversary Collection (PS4)Capcom, Fighting",Pro,N/A,22
66,"Project Octopath Traveler (NS)Nintendo, Role-Playing",Pro,N/A,16
67,"Destiny 2 (XOne)Activision, Shooter",Pro,N/A,60
68,"Monster Hunter: World (PS4)Capcom, Action",Pro,N/A,40
69,"Captain Toad: Treasure Tracker (NS)Nintendo, Puzzle",Pro,N/A,16
70,"Need for Speed: Payback (PS4)Electronic Arts, Racing",Pro,N/A,51
71,"Call of Duty: WWII (PS4)Activision, Shooter",Pro,N/A,52
72,"The Crew 2 (PS4)Ubisoft, Racing",Pro,N/A,18
73,"Just Dance 2019 (WiiU)Ubisoft, Music",Pro,N/A,1
74,"EA Sports UFC 3 (PS4)Electronic Arts, Sports",Pro,N/A,39
75,"Xenoblade Chronicles 2 (NS)Nintendo, Role-Playing",Pro,N/A,48
